ID,PROJECT,FILE,START,END,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,is_god_class
C-000210,Chart.js,src/core/core.animation.js,27,119,93,93,23,23,7,7,12,3.2857142857142856,3.2857142857142856,0,0.3684210526315789,0
C-000211,Chart.js,src/core/core.animations.js,6,132,127,127,19,19,5,5,2,3.8,3.8,0,0.7142857142857143,0
C-000212,Chart.js,src/core/core.animator.js,12,211,200,200,25,25,12,12,4,2.083333333333333,2.083333333333333,0,0.75,0
C-000213,Chart.js,src/core/core.config.js,158,381,224,200,31,23,20,12,3,1.55,1.9166666666666667,8,0.5217391304347826,1
C-000214,Chart.js,src/core/core.controller.js,121,1285,1165,1135,181,171,64,58,35,2.828125,2.9482758620689653,6,0.5858585858585859,1
C-000215,Chart.js,src/core/core.datasetController.js,224,1065,842,842,151,151,55,55,20,2.7454545454545456,2.7454545454545456,0,0.7333333333333333,1
C-000217,Chart.js,src/core/core.plugins.js,20,115,96,96,21,21,7,7,1,3.0,3.0,0,0.875,0
C-000218,Chart.js,src/core/core.registry.js,11,183,173,173,22,22,19,19,5,1.1578947368421053,1.1578947368421053,0,0.7916666666666666,0
C-000219,Chart.js,src/core/core.scale.js,168,1704,1537,1537,268,268,68,68,42,3.941176470588236,3.941176470588236,0,0.6181818181818182,1
C-000220,Chart.js,src/core/core.typedRegistry.js,8,82,75,75,13,13,5,5,4,2.6,2.6,0,0.5555555555555556,0
C-000221,Chart.js,src/elements/element.bar.js,141,226,86,86,14,14,7,7,9,2.0,2.0,0,0.4375,0
C-000222,Chart.js,src/elements/element.line.js,243,445,203,191,32,28,11,8,15,2.909090909090909,3.5,3,0.3076923076923077,0
C-000223,Chart.js,src/platform/platform.base.js,9,83,75,75,11,11,8,8,0,1.375,1.375,0,1.0,0
C-000224,Chart.js,src/platform/platform.basic.js,13,23,11,11,5,5,2,2,0,2.5,2.5,0,1.0,0
C-000225,Chart.js,src/platform/platform.dom.js,256,385,130,130,19,19,7,7,0,2.7142857142857144,2.7142857142857144,0,1.0,0
C-000226,Chart.js,src/plugins/plugin.filler/simpleArc.js,4,27,24,24,4,4,3,3,3,1.3333333333333333,1.3333333333333333,0,0.5,0
C-000227,Chart.js,src/plugins/plugin.legend.js,41,553,513,513,50,50,15,15,22,3.333333333333333,3.333333333333333,0,0.4054054054054054,1
C-000228,Chart.js,src/plugins/plugin.title.js,7,106,100,100,12,12,5,5,13,2.4,2.4,0,0.2777777777777778,0
C-000229,Chart.js,src/plugins/plugin.tooltip.js,450,1210,761,761,101,101,26,26,28,3.8846153846153846,3.8846153846153846,0,0.4814814814814814,1
C-000230,Chart.js,src/scales/scale.category.js,34,158,125,125,30,30,11,11,5,2.727272727272727,2.727272727272727,0,0.6875,0
C-000231,Chart.js,src/scales/scale.linear.js,6,51,46,46,10,10,4,4,2,2.5,2.5,0,0.6666666666666666,0
C-000233,Chart.js,src/scales/scale.logarithmic.js,74,226,153,153,31,31,9,9,6,3.4444444444444446,3.4444444444444446,0,0.6,0
C-000235,Chart.js,src/scales/scale.time.js,199,675,477,477,86,86,22,22,8,3.909090909090909,3.909090909090909,0,0.7333333333333333,0
C-000236,Chart.js,src/scales/scale.timeseries.js,34,175,142,142,22,22,7,7,5,3.142857142857143,3.142857142857143,0,0.5833333333333334,0
C-000241,JsPaint,lib/pdf.js/web/viewer.js,3771,3842,72,63,15,13,7,5,7,2.142857142857143,2.6,2,0.3571428571428571,0
C-000244,JsPaint,lib/pdf.js/web/viewer.js,4360,4455,96,93,25,24,8,7,3,3.125,3.4285714285714284,1,0.6363636363636364,0
C-000245,JsPaint,lib/pdf.js/web/viewer.js,4472,4526,55,55,9,9,5,5,11,1.8,1.8,0,0.3125,0
C-000246,JsPaint,lib/pdf.js/web/viewer.js,4545,4681,137,137,14,14,6,6,1,2.333333333333333,2.333333333333333,0,0.8571428571428571,0
C-000248,JsPaint,lib/pdf.js/web/viewer.js,4851,5087,237,237,44,44,10,10,8,4.4,4.4,0,0.5555555555555556,1
C-000251,JsPaint,lib/pdf.js/web/viewer.js,6137,6660,524,515,128,121,22,19,7,5.818181818181818,6.368421052631579,3,0.6551724137931034,1
C-000253,JsPaint,lib/pdf.js/web/viewer.js,6925,7252,328,313,83,77,21,16,10,3.952380952380953,4.8125,5,0.5161290322580645,1
C-000255,JsPaint,lib/pdf.js/web/viewer.js,7397,7698,302,302,52,52,10,10,4,5.2,5.2,0,0.7142857142857143,1
C-000257,JsPaint,lib/pdf.js/web/viewer.js,8087,8505,419,398,56,48,20,13,12,2.8,3.692307692307693,7,0.40625,1
C-000259,JsPaint,lib/pdf.js/web/viewer.js,8882,8995,114,111,11,9,6,5,9,1.8333333333333333,1.8,1,0.3333333333333333,0
C-000260,JsPaint,lib/pdf.js/web/viewer.js,9019,9276,258,236,42,36,14,12,6,3.0,3.0,2,0.6,1
C-000262,JsPaint,lib/pdf.js/web/viewer.js,9719,9786,68,65,17,16,4,3,0,4.25,5.333333333333333,1,0.75,0
C-000263,JsPaint,lib/pdf.js/web/viewer.js,9875,11211,1337,1093,281,209,66,36,25,4.257575757575758,5.805555555555555,30,0.3736263736263736,1
C-000266,JsPaint,lib/pdf.js/web/viewer.js,11470,12101,632,626,93,91,17,15,34,5.470588235294118,6.066666666666666,2,0.2941176470588235,1
C-000268,JsPaint,lib/pdf.js/web/viewer.js,12466,12477,12,12,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000269,JsPaint,lib/pdf.js/web/viewer.js,12494,12544,51,51,5,5,4,4,4,1.25,1.25,0,0.5,0
C-000270,JsPaint,lib/pdf.js/web/viewer.js,12548,12556,9,9,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000271,JsPaint,lib/pdf.js/web/viewer.js,12577,12875,299,296,20,19,14,13,10,1.4285714285714286,1.4615384615384617,1,0.5416666666666666,1
C-000273,JsPaint,lib/pdf.js/web/viewer.js,13025,13272,248,248,18,18,9,9,6,2.0,2.0,0,0.6,0
C-000275,JsPaint,lib/pdf.js/web/viewer.js,13396,13405,10,10,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000276,JsPaint,lib/pdf.js/web/viewer.js,13407,13428,22,22,4,4,4,4,0,1.0,1.0,0,1.0,0
C-000279,JsPaint,lib/pdf.js/web/viewer.js,13683,13713,31,31,5,5,5,5,2,1.0,1.0,0,0.7142857142857143,0
