ID,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,IS_LONG_METHOD
M-015855,18,4,2,0,0,1,1,0.0,0
M-016019,5,1,0,1,1,0,1,0.0,0
M-016021,4,1,0,1,1,1,1,0.0,0
M-016072,21,2,0,5,5,4,1,0.0,0
M-016097,52,5,1,1,1,1,1,0.0,1
M-016099,211,26,5,1,1,2,1,0.0,1
M-016100,33,2,1,1,1,2,1,0.0,0
M-016101,34,9,2,0,0,2,1,0.0,1
M-016108,47,10,2,2,2,4,1,0.0,1
M-016118,17,5,4,0,0,1,1,0.0,0
M-016123,193,24,3,0,0,1,1,0.0,1
M-016126,10,1,0,1,1,1,1,0.0,0
M-016134,159,26,5,3,3,7,1,0.0,1
M-016135,8,1,0,0,0,1,1,0.0,0
M-016168,36,5,3,0,0,2,1,0.0,0
M-016187,101,18,5,3,3,7,1,0.0,1
M-016199,37,14,1,4,4,1,1,0.0,0
M-016200,22,5,0,4,4,1,1,0.0,0
M-016208,181,22,6,2,2,1,1,0.0,1
M-016213,171,18,5,1,1,1,1,0.0,1
M-016225,239,27,5,3,3,2,1,0.0,1
M-016245,20,1,5,2,2,2,1,0.0,0
M-016258,16,6,1,2,2,0,1,0.0,0
M-016261,89,23,5,3,3,2,1,0.0,1
M-016285,74,17,3,4,4,1,1,0.0,0
M-016297,91,2,4,8,8,1,1,0.0,1
M-016300,30,1,3,0,0,0,1,0.0,0
M-016313,7,1,0,2,2,0,1,0.0,0
M-016322,107,21,2,0,0,1,1,0.0,1
M-016326,92,19,3,1,1,1,1,0.0,1
M-016344,152,14,4,18,18,2,1,0.0,1
M-016348,10,3,1,2,2,2,1,0.0,0
M-016353,4,1,0,0,0,6,1,0.0,0
M-016358,95,23,5,0,0,9,1,0.0,1
M-016377,4,1,0,0,0,1,1,0.0,0
M-016388,5,1,0,1,1,0,1,0.0,0
M-016395,238,54,6,0,0,0,1,0.0,1
M-016399,27,8,2,2,2,1,1,0.0,0
M-016409,150,41,9,3,3,4,3,3.0,1
M-016411,127,35,8,2,2,0,1,0.0,1
M-016423,41,4,2,6,6,3,1,0.0,0
M-016446,5,1,0,1,1,0,1,0.0,0
M-016466,47,1,0,0,0,0,1,0.0,1
M-016486,34,1,0,0,0,0,1,0.0,0
M-016488,69,1,0,0,0,1,1,0.0,0
M-016495,115,15,5,2,2,0,1,0.0,1
M-016497,21,8,0,3,3,1,1,0.0,0
M-016498,41,11,1,0,0,0,1,0.0,1
M-016500,255,17,4,10,10,2,1,0.0,1
M-016501,17,1,0,3,3,2,1,0.0,0
M-016503,62,6,2,1,1,1,1,0.0,0
