ID,PROJECT,FILE,START,END,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,is_long_method
M-007344,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTextureColorQualityRenderer.js,425,803,379,43,4,7,7,0,1,0.0,1
M-007355,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTextureColorRenderer.js,512,595,84,9,3,4,4,0,1,0.0,0
M-007439,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTexturePickNormalsFlatRenderer.js,245,288,44,4,2,3,3,0,1,0.0,1
M-007532,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/TrianglesDataTextureLayer.js,1059,1094,36,4,1,2,2,2,1,0.0,0
M-007637,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2079,2162,84,42,3,0,0,1,1,0.0,1
M-007638,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2185,2303,119,41,7,2,2,1,1,0.0,1
M-007640,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2436,2691,256,104,4,2,2,1,1,0.0,1
M-007798,Xeokit-SDK,src/viewer/scene/model/vbo/linesBatching/LinesBatchingLayer.js,542,621,80,24,3,12,12,4,1,0.0,1
M-007984,Xeokit-SDK,src/viewer/scene/model/vbo/pointsInstancing/PointsInstancingRenderers.js,98,120,23,8,1,0,0,0,1,0.0,0
M-008014,Xeokit-SDK,src/viewer/scene/model/vbo/snapBatching/SnapBatchingDepthBufInitRenderer.js,26,139,114,17,6,12,12,3,1,0.0,1
M-008067,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/renderers/TrianglesBatchingColorRenderer.js,16,154,139,20,4,5,5,0,1,0.0,1
M-008107,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,182,431,250,45,5,25,25,1,1,0.0,1
M-008108,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,437,538,102,24,4,3,3,0,1,0.0,1
M-008125,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,855,886,32,6,2,10,10,2,1,0.0,0
M-008228,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesInstancing/TrianglesInstancingLayer.js,624,699,76,27,2,9,9,3,1,0.0,1
M-008283,Xeokit-SDK,src/viewer/scene/model/vbo/VBOSceneModelRenderers.js,118,248,131,15,3,5,5,0,1,0.0,1
M-008286,Xeokit-SDK,src/viewer/scene/model/vbo/VBOSceneModelRenderers.js,417,609,193,51,2,17,17,4,1,0.0,1
M-008324,Xeokit-SDK,src/viewer/scene/nodes/Node.js,571,577,7,2,2,0,0,1,1,0.0,0
M-008389,Xeokit-SDK,src/viewer/scene/paths/CubicBezierCurve.js,172,181,10,1,0,1,1,1,1,0.0,0
M-008399,Xeokit-SDK,src/viewer/scene/paths/Curve.js,111,134,24,7,2,5,5,1,1,0.0,0
M-008550,Xeokit-SDK,src/viewer/scene/scene/Scene.js,2267,2272,6,2,2,1,1,0,1,0.0,0
M-008553,Xeokit-SDK,src/viewer/scene/scene/Scene.js,2369,2375,7,1,2,0,0,2,1,0.0,0
M-008594,Xeokit-SDK,src/viewer/scene/utils/Loader.js,49,52,4,1,0,0,0,1,1,0.0,0
M-008641,Xeokit-SDK,src/viewer/scene/vfc/VFCState.js,136,157,22,6,3,0,0,2,1,0.0,0
M-008646,Xeokit-SDK,src/viewer/scene/vfc/VFCState.js,215,223,9,3,3,2,2,2,1,0.0,0
M-008716,Xeokit-SDK,src/viewer/scene/webgl/occlusion/OcclusionTester.js,192,226,35,5,1,3,3,0,1,0.0,0
M-008797,Xeokit-SDK,src/viewer/scene/webgl/Texture2D.js,203,310,108,22,4,7,7,1,1,0.0,1
M-008817,Xeokit-SDK,src/viewer/Viewer.js,419,506,88,21,5,10,10,1,1,0.0,1
M-008983,PlayCanvas,src/core/math/curve-set.js,114,123,10,2,2,1,1,2,1,0.0,0
M-009089,PlayCanvas,src/core/math/vec2.js,358,363,6,1,0,0,0,2,1,0.0,0
M-009167,PlayCanvas,src/core/preprocessor.js,124,301,178,27,7,2,2,2,1,0.0,1
M-009335,PlayCanvas,src/framework/anim/controller/anim-controller.js,525,606,82,21,7,1,1,1,1,0.0,1
M-009445,PlayCanvas,src/framework/anim/evaluator/anim-evaluator.js,197,284,88,15,6,4,4,2,1,0.0,1
M-009473,PlayCanvas,src/framework/anim/state-graph/anim-state-graph.js,22,126,105,12,9,0,0,1,1,0.0,1
M-009480,PlayCanvas,src/framework/app-base.js,258,614,357,20,5,3,3,1,1,0.0,1
M-009485,PlayCanvas,src/framework/app-base.js,662,665,4,1,0,0,0,0,1,0.0,0
M-009546,PlayCanvas,src/framework/asset/asset-list-loader.js,220,223,4,1,0,0,0,1,1,0.0,0
